id;created_at;text
1116383502327603202;2019-04-11T16:52:23+00:00;#Großbartloff: Augenscheinlicher Afrikaner schlägt auf offener Straße mit brutaler Gewalt auf eine Frau ein, bis sie zu Boden geht - Zeugen nehmen die Gewaltattacke auf, die nun im Netz für Empörung sorgt https://t.co/3FP5B5vALv
1116662967414796288;2019-04-12T11:22:52+00:00;Vorhersage (Sa.) Vormittag: sonnig_ T°C +2 +3_ leichte Brise N 2-3m/s #Köln #Wetter https://t.co/NZaZ83fYAC
1116660791283941376;2019-04-12T11:14:13+00:00;On Monday I will present a simple model for #MMT in @socialeurope Pipers Welt - Schlaraffenland https://t.co/2vjy4YNBmi
1116639828244873216;2019-04-12T09:50:55+00:00;Das ist Deutschland nach 14 Jahren #Merkel. Weltspitze bei den Abgaben, während die Infrastruktur zerfällt. Wo das Geld geblieben ist? Die Antwort sind die drei E: #Eurorettung, #Energiewende, #Einwanderungs-Desaster.  #AfD https://t.co/PgBxWrqLKN
1116463190982848514;2019-04-11T22:09:02+00:00;Aufnahmen des Schwarzen Lochs: 29-jährige Forscherin machte Foto möglich https://t.co/IRJzpNcAlY
1116662970648543237;2019-04-12T11:22:53+00:00;Es geht bergauf ⚡️🚲 https://t.co/wggiZ7G3h5 #FVV https://t.co/JlavIZXp9L
1116616396375375872;2019-04-12T08:17:49+00:00;„Es gibt eine Chance für einen CO2-Mindestpreis in den nächsten Monaten“, sagt Klima-Ökonom @ottmaredenhofer vom #MCC und #PIK. EU-Regeln und @FFF_Berlin machten so viel Druck, dass sich die Regierung bewegen werde. Na hoffentlich
1116662978580045826;2019-04-12T11:22:55+00:00;Ein herzliches Dankeschön an @derberliner70 @tattooed_soul_ und @icemann1887 als erste 3 Follower 💖 https://t.co/LE1owXgzGC
1116662998033207296;2019-04-12T11:22:59+00:00;Schau, was ich gefunden habe. 10 Aussaat u. Pikier Töpfe,+1 GRATIS STECKSCHILD, Töpfe rechteckig platzsparend https://t.co/iG0qVHuh4B via @eBayDE
1101837161807208448;2019-03-02T13:30:25+00:00;Wenn wieder K-Pop scheiße in den Trends ist https://t.co/o7VUGHScj5
1116396809734316032;2019-04-11T17:45:15+00:00;Adeptos do Eintracht Frankfurt a cantar pelo 💚Sporting💚 https://t.co/tjIvA3BuVz
1106215771372511232;2019-03-14T15:29:27+00:00;Traust du #Zahlsau dir zu, von @hagelschaden1 und mir gemeinsam benutzt und ausgenommen zu werden? Bewirb dich jetzt als unser williges #Opfer: https://t.co/NxS6deyIJr  #Geldherrin #moneydom #Zahlschwein #Fußfetisch #Füße #Zahlsklave #Geldsklave #Zahldepp #Zahltrottel #Melkung https://t.co/dZkrhKyWRg
1116663006430158848;2019-04-12T11:23:01+00:00;#JouwBaan #vacature Heftruckchauffeur https://t.co/iZVc1RHJGa #vrijdaggevoel
1116662248158531590;2019-04-12T11:20:01+00:00;— T A E H Y U N G                                S N A P P E D 🌠 https://t.co/OmcEL9JQJx
1116230398143385600;2019-04-11T06:44:00+00:00;This is the most bonkers one minute of a movie that I have ever seen https://t.co/wjRxHlIBO4
1116275342535081984;2019-04-11T09:42:35+00:00;Wife told husband, after you finished watering the plants,  we need to talk about something I saw in your mobile phone.  After 4 hours, husband still watering the garden.   😜 https://t.co/tvi6Wh6bko
1116554642773536773;2019-04-12T04:12:26+00:00;Boys‘ n Girls.   Es ist  Freitag.   *alle jubeln *Neugeborene werden geopfert  *alle haben Sex
1116663025031946240;2019-04-12T11:23:06+00:00;#Rezension: Schön fand ich, dass es kein Schwarz und Weiß gibt. https://t.co/XAWnwALWVw Der Drache und die Prinzessin #Fantasy #ebook #debk
1116663025098985472;2019-04-12T11:23:06+00:00;Wo das Denken von #MartinSellner und der #Identitäre|n herkommt, erklärt Prof. Dr. Micha Brumlik. https://t.co/FjrHCdJfnA
1116425258469330945;2019-04-11T19:38:18+00:00;when chanyeol cursed “aish” but it sounded like A C and Sehun followed with D to cover up for him which led into an entire argument over English alphabets at 4:15 AM KST https://t.co/JlPYjiAUTx
1116633946031362048;2019-04-12T09:27:33+00:00;Ratzinger war und ist ein jämmerlicher Hostien-Bot, dessen einziges relevantes Bejubelungsmerkmal als Papst es war, dass er Deutscher ist. Fun Fact: Von den Ratzinger-Brüdern ist er noch der saubere.  https://t.co/kYsV5YAdRa
1116663035735760896;2019-04-12T11:23:08+00:00;Schon 20 Minuten im Grünen senken das Stresslevel https://t.co/H1IZKmNEU0
1116349239775432705;2019-04-11T14:36:14+00:00;Mama. Ich weiß jetzt was Sex ist! Oh, schön! Hast du Fragen!?? Ja! ...  SCHEISSE! ZU HÜLF????
1116663046003408896;2019-04-12T11:23:11+00:00;#Fortuna muss im Heimspiel gegen den #FCBayern auf Kapitän Oliver #Fink verzichten. Erfreuliche Nachrichten gibt es dagegen von #Ayhan, #Suttner und #Kownacki. 🔴⚪️ #f95 #F95FCB https://t.co/1pG78jznb8
1116663054408855552;2019-04-12T11:23:13+00:00;Strohmannaffäre der AfD: Bundestag verlangt Auskunft über weitere dubiose Spende - SPIEGEL ONLINE - Politik https://t.co/qyXhxcZWQN
1116412235130245121;2019-04-11T18:46:33+00:00;Wir als:   das Fußvolk   die Köterrasse  das Pack  sollten sehr schnell darüber nachdenken, auf die Straße zu gehen! Wir sind blutende Steuerzahler, oder bluten wegen Messerungen ‼️  Das muss ein Ende haben🇩🇪👍🏻
1116441193246797829;2019-04-11T20:41:37+00:00;Hetze - Sperre - Neuanmeldung - Hetze - Sperre - Neuanmeldung - Hetze - Sperre - Neuanmeldung: so läuft das auch bei @ZensierterF, dauerhaft gesperrt als @FarbodArian und @ArianFarbod.  #ReportTheMob #DASNetzwerk https://t.co/jcqLArqmLg
1116660131826216960;2019-04-12T11:11:36+00:00;Gewalt: Aggressive Zuwanderer überfordern die Gefängnisse https://t.co/zo7eh4lTyl via @spiegelplus
1116637302141353984;2019-04-12T09:40:53+00:00;Das ist das erste Urteil in Europa zu den Gesundheitsschäden von #Glyphosat! BAYER hat sich mit #Monsanto ein Risiko für das eigene Unternehmen und Gift für Mensch &amp_ Umwelt eingekauft. Diese Gefahr müssen wir jetzt mindern: Glyphosat gehört vom Acker! https://t.co/mMgR8Oonds https://t.co/O6MBCUamPU
1116662868563386368;2019-04-12T11:22:29+00:00;Die Idee: Ein interkulturelles #Bürgerhaus im Alltag einer modernen Gesellschaft. Aber das Zentrum in der Nähe der #Galluswarte hat noch keinen Namen. Was würde Euch denn gefallen? https://t.co/V4zP7Ey4I8 https://t.co/NMqqyL7HSc
1116663066274541568;2019-04-12T11:23:16+00:00;[Tagesangebot] Bis zu 26% reduziert: 4K Ultra HD Blu-rays, u.a. mit Ready Player One (4K Ultra HD) [Blu-ray] für 16,97 EUR, uvm. #DE  https://t.co/o8gK0hk8SP #schnäppchen #spielekauf
1116657713218502659;2019-04-12T11:01:59+00:00;May mga tao talaga na sobra na nating namimiss pero hindi na natin pwedeng kausapin.
1116662910678384641;2019-04-12T11:22:39+00:00;Bald geht es los :) https://t.co/xOMbFkH4Wy  Das #GAIMX Gladiators #Tournament rückt immer näher. 32 Teams spielen am 11+12. Mai 2019 um insgesamt 10.000 € #Preispool .
1116663079876595714;2019-04-12T11:23:19+00:00;Das Gänseblümchen von Ganz schön Feist, aus dem Jahr 1997 noch mal bei Sonnenschein. P.s Blümchen wurden hier für nicht getötet, drumrum geschnitten 😋   P.p.s Ich konnte mich nicht entscheiden, mit oder ohne Biene, darauflassen ❤️#MusikgeschichteAlsBrotbelag https://t.co/oc0D96BpXT
